claim,supported,evidence_csv,details
block_plane_geometric_contact_calculix_comparison_available,true,geometric_contact_calculix_comparison.csv,"CalculiX dynamic contact output parsed for activation, penetration, force, contact energy, and contact-zone stress"
block_plane_geometric_contact_scoped_acceptance,true,geometric_contact_calculix_comparison.csv,Uses loose diagnostic thresholds; false means evidence exists but external contact agreement is not accepted
calculix_contact_force_law_replay_diagnostics_available,true,geometric_contact_alignment_diagnostics.csv,Replays SFC hard-linear area-weighted contact law on CalculiX displacements to separate force-law/output differences from trajectory differences
hht_residual_tangent_trajectory_diagnostics_available,false,geometric_contact_hht_residual_tangent.csv,"Checks the HHT residual evaluation point, previous static residual update, and contact residual tangent sign convention by finite differences"
calculix_contact_lifecycle_output_diagnostics_available,true,geometric_contact_lifecycle_output_diagnostics.csv,"Tracks CNUM lifecycle transitions, RF/CELS peak timing, and source-level output definitions for CalculiX/SFC contact comparison"
calculix_mechanics_increment_acceptance_diagnostics_available,true,geometric_contact_mechanics_increment_acceptance.csv,"Tracks CalculiX DIRECT increment attempts, Newton iterations, convergence messages, HHT alpha/beta/gamma, and SFC Newton acceptance diagnostics"
calculix_state_one_step_mechanics_diagnostics_available,false,geometric_contact_one_step_state_diagnostics.csv,"Starts SFC from each CalculiX displacement state and decomposes internal force, contact force, mass term, HHT residual, tangent norms, and Newmark update error"
hht_newmark_state_definition_precision_diagnostics_available,true,geometric_contact_hht_state_definition_diagnostics.csv,"Checks CalculiX beta/gamma, prediction/update/residual state definitions, initial acceleration regularization, mass scale, and .dat displacement precision amplification"
calculix_per_contact_element_clearance_lifecycle_audit_available,false,geometric_contact_element_clearance_lifecycle_audit_summary.csv,Parses per-contact CDIS/CSTR/CELS from CalculiX .dat and compares CalculiX active contact elements against SFC native and CalculiX-displacement replay springs
calculix_nodal_velocity_acceleration_output_available,false,geometric_contact_nodal_state_diagnostics.csv,Requests and parses CalculiX nodal V/A output to avoid relying only on displacement-differenced Newmark acceleration reconstruction
calculix_floor_node_rf_distribution_available,true,geometric_contact_floor_rf_distribution.csv,Requests floor nodal RF without totals-only aggregation and sums it separately for reaction-force diagnostics
calculix_raw_contact_print_rows_preserved,true,geometric_contact_raw_contact_print_rows.csv,Preserves every CDIS/CSTR/CELS data row with raw row index instead of overwriting or face-aggregating repeated contact-element rows
first_contact_per_spring_comparison_available,true,geometric_contact_first_contact_spring_comparison.csv,"Compares clearance, area, force, energy, normal, and slave weights at the nominal first contact step"
calculix_sfc_true_velocity_comparison_available,true,geometric_contact_true_velocity_comparison.csv,Directly compares CalculiX printed nodal velocity V against SFC nodal velocity at matching output times
contact_mesh_convergence_trend_available,false,geometric_contact_mesh_convergence.csv,r1/r2/r3 SFC geometric contact trend; no theoretical order claimed
contact_timestep_convergence_trend_available,false,geometric_contact_timestep_convergence.csv,"dt, dt/2, dt/4 SFC geometric contact trend"
paraview_stress_cloud_comparison_available,false,geometric_contact_stress_clouds.csv,SFC and CalculiX final VTK stress clouds are written with shared von Mises color scale fields
